rank,energy,error
1,-1.3218086934744047,5.062885870129271
2,-1.053894651989502,5.330799911614174
3,-0.9301913746871063,5.45450318891657
4,-0.7713569369216362,5.61333762668204
5,-0.7420675689984022,5.6426269946052745
