rank,energy,error
1,-0.8157184774207294,5.568976086182947
2,-0.5166285262225261,5.86806603738115
3,-0.45911722350573897,5.925577340097937
4,-0.3671761141657053,6.017518449437971
5,-0.3430910841518208,6.041603479451855
